 165 K00275.02  2.74 0.09
 166 K00276.01  2.67 0.07
 167 K00277.01  4.02 0.13
 168 K00279.01  6.70 0.59
 169 K00279.02  2.89 0.26
 170 K00279.03  1.07 0.11
 171 K00280.01  2.08 0.06
 172 K00281.01  2.86 0.11
 173 K00282.01  3.18 0.08
 174 K00282.02  1.11 0.03
 175 K00282.03  1.47 0.08
 176 K00283.01  2.25 0.04
 177 K00283.02  0.90 0.04
 178 K00284.01  1.51 0.05
 179 K00284.02  1.25 0.04
 180 K00284.03  1.14 0.04
 181 K00284.04  1.37 0.06
 182 K00285.01  4.00 0.16
 183 K00285.02  2.71 0.11
 184 K00288.01  3.29 0.20
 185 K00289.01  4.19 0.15
 186 K00289.02  9.92 0.35
 187 K00291.01  3.36 0.12
 188 K00291.02  2.16 0.09
 189 K00292.01  1.58 0.03
 190 K00294.01  2.59 0.07
 191 K00295.01  1.80 0.04
 192 K00295.02  1.14 0.04
 193 K00296.01  2.51 0.06
 194 K00297.01  1.68 0.06
 195 K00299.01  1.74 0.03
 196 K00301.01  2.19 0.08
 197 K00301.02  1.34 0.06
 198 K00303.01  3.04 0.06
 199 K00304.01  2.48 0.05
 200 K00304.02  0.53 0.14
 201 K00305.01  1.73 0.04
 202 K00306.01  2.37 0.06
 203 K00307.01  2.60 0.14
 204 K00307.02  1.84 0.10
 205 K00308.01  4.11 0.24
 206 K00312.01  2.51 0.13
 207 K00312.02  2.39 0.12
 208 K00313.01  2.22 0.05
 209 K00313.02  1.74 0.04
 210 K00315.01  2.26 0.04
 211 K00316.01  2.69 0.06
 212 K00316.02  2.70 0.06
 213 K00316.03  1.87 0.05
 214 K00319.01  9.84 0.46
 215 K00321.01  1.60 0.03
 216 K00321.02  0.93 0.03
 217 K00323.01  2.10 0.12
 218 K00327.01  1.65 0.05
 219 K00327.02  1.89 0.07
 220 K00330.01  3.01 0.12
 221 K00330.02  1.35 0.07
 222 K00331.01  4.36 0.18
 223 K00331.02  2.54 0.19
 224 K00332.01  2.68 0.09
 225 K00332.02  1.15 0.07
 226 K00333.01  2.66 0.10
 227 K00337.01  2.50 0.08
 228 K00338.01  1.56 0.04
 229 K00338.02  0.76 0.03
 230 K00341.01  2.86 0.06
 231 K00341.02  1.82 0.04
 232 K00343.01  2.70 0.06
 233 K00343.02  1.87 0.04
 234 K00343.03  1.67 0.05
 235 K00344.01  3.26 0.06
 236 K00345.01  2.89 0.06
 237 K00346.01  2.58 0.06
 238 K00348.01  3.32 0.06
 239 K00350.01  2.14 0.06
 240 K00351.02  8.48 0.20
 241 K00351.03  3.13 0.08
 242 K00351.04  2.89 0.08
 243 K00351.05  1.67 0.05
 244 K00351.06  1.42 0.05
 245 K00351.07  2.94 0.09
 246 K00352.01  3.01 0.09
 247 K00352.02  2.43 0.13
 248 K00355.01  2.60 0.08
 249 K00356.01  3.45 0.07
 250 K00361.01  1.51 0.03
 251 K00365.01  2.37 0.04
 252 K00367.01  5.06 0.10
 253 K00369.01  1.37 0.06
 254 K00369.02  1.38 0.06
 255 K00370.01  4.20 0.19
 256 K00370.02  2.37 0.11
 257 K00373.01  2.66 0.06
 258 K00374.01  3.43 0.09
 259 K00379.02  3.14 0.27
 260 K00384.01  3.52 0.22
 261 K00385.01  1.73 0.04
 262 K00386.01  3.52 0.08
 263 K00386.02  2.97 0.08
 264 K00387.01  2.52 0.05
 265 K00388.01  3.64 0.15
 266 K00392.01  2.82 0.11
 267 K00392.02  1.48 0.09
 268 K00393.01  2.95 0.14
 269 K00401.01  4.98 0.11
 270 K00401.02  4.34 0.10
 271 K00401.03  1.99 0.06
 272 K00408.01  3.66 0.08
 273 K00408.02  2.93 0.07
 274 K00408.03  2.63 0.07
 275 K00408.04  1.29 0.05
 276 K00409.01  2.98 0.07
 277 K00415.01  9.68 0.28
 278 K00416.01  3.27 0.07
 279 K00416.02  2.75 0.06
 280 K00416.03  0.83 0.05
 281 K00427.01  3.84 0.09
 282 K00427.02  2.80 0.07
 283 K00427.03  2.51 0.08
 284 K00431.01  2.63 0.06
 285 K00431.02  2.27 0.05
 286 K00433.01  5.09 0.13
 287 K00433.02 11.13 0.28
 288 K00435.01  4.55 0.11
 289 K00435.03  2.77 0.08
 290 K00435.04  1.76 0.05
 291 K00435.05  3.37 0.09
 292 K00435.06  1.57 0.06
 293 K00439.01  5.17 0.11
 294 K00440.01  2.70 0.06
 295 K00440.02  2.41 0.06
 296 K00442.01  2.53 0.06
 297 K00442.02  1.59 0.04
 298 K00442.03  1.63 0.05
 299 K00444.01  2.24 0.05
 300 K00446.01  1.97 0.05
 301 K00446.02  1.93 0.05
 302 K00448.01  2.38 0.06
 303 K00456.01  4.18 0.10
 304 K00456.02  2.05 0.05
 305 K00457.01  2.30 0.05
 306 K00457.02  2.25 0.05
 307 K00459.01  3.84 0.12
 308 K00459.02  1.65 0.06
 309 K00464.01  7.24 0.18
 310 K00464.02  2.73 0.07
 311 K00474.01  2.62 0.07
 312 K00474.02  2.46 0.07
 313 K00474.03  2.87 0.10
 314 K00474.04  1.40 0.06
 315 K00475.01  2.14 0.07
 316 K00475.02  2.33 0.07
 317 K00479.01  3.37 0.07
 318 K00481.01  2.67 0.05
 319 K00481.02  1.84 0.04
 320 K00481.03  2.79 0.05
 321 K00486.01  3.17 0.09
 322 K00490.01  1.71 0.03
 323 K00490.03  1.65 0.03
 324 K00490.04  1.27 0.04
 325 K00500.01  2.84 0.06
 326 K00500.02  2.85 0.06
 327 K00500.03  1.72 0.04
 328 K00500.04  1.76 0.04
 329 K00500.05  1.57 0.04
 330 K00505.01  2.10 0.05
 331 K00505.02  1.38 0.04
 332 K00505.03  1.19 0.04
 333 K00505.04  1.36 0.04
 334 K00505.05  2.70 0.06
 335 K00508.01  3.17 0.08
 336 K00508.02  3.02 0.08
 337 K00509.01  3.01 0.09
 338 K00509.02  3.29 0.10
 339 K00510.01  2.51 0.07
 340 K00510.02  2.69 0.08
 341 K00510.03  2.30 0.08
 342 K00510.04  2.69 0.10
 343 K00511.01  3.00 0.09
 344 K00511.02  1.61 0.06
 345 K00517.01  2.76 0.06
 346 K00518.01  2.46 0.06
 347 K00518.02  1.89 0.05
 348 K00518.03  2.77 0.07
 349 K00519.01  3.28 0.10
 350 K00519.02  3.52 0.11
 351 K00520.01  2.60 0.07
 352 K00520.02  1.58 0.05
 353 K00520.03  2.38 0.07
 354 K00520.04  1.41 0.07
 355 K00523.01  8.37 0.27
 356 K00523.02  3.97 0.14
 357 K00528.01  2.69 0.06
 358 K00528.02  3.03 0.07
 359 K00528.03  2.65 0.07
 360 K00534.01  2.49 0.06
 361 K00534.02  1.89 0.05
 362 K00543.01  2.37 0.05
 363 K00543.02  1.51 0.04
 364 K00546.01  4.41 0.21
 365 K00546.02  3.13 0.15
 366 K00548.01  3.66 0.12
 367 K00548.02  1.06 0.08
 368 K00550.01  2.55 0.06
 369 K00551.01  2.85 0.08
 370 K00551.02  2.53 0.07
 371 K00555.01  1.58 0.04
 372 K00555.02  2.94 0.07
 373 K00561.01  1.84 0.04
 374 K00564.01  3.85 0.18
 375 K00564.02 10.97 0.50
 376 K00564.03  2.51 0.13
 377 K00567.01  2.55 0.05
 378 K00567.02  2.11 0.05
 379 K00567.03  2.31 0.05
 380 K00568.01  1.51 0.04
 381 K00568.02  0.92 0.04
 382 K00569.01  1.85 0.05
 383 K00569.02  1.13 0.03
 384 K00572.01  3.79 0.14
 385 K00572.02  1.97 0.09
 386 K00573.01  3.07 0.08
 387 K00573.02  1.68 0.05
 388 K00574.01  2.66 0.06
 389 K00574.02  1.37 0.05
 390 K00577.01  2.25 0.07
 391 K00577.02  0.95 0.04
 392 K00579.01  1.51 0.03
 393 K00579.02  1.56 0.04
 394 K00582.01  2.38 0.05
 395 K00582.02  2.07 0.05
 396 K00582.03  1.46 0.05
 397 K00584.01  2.93 0.07
 398 K00584.02  2.63 0.07
 399 K00584.03  1.18 0.05
 400 K00590.01  2.38 0.07
 401 K00590.02  2.82 0.09
 402 K00597.01  2.76 0.07
 403 K00597.02  1.58 0.05
 404 K00597.03  2.58 0.08
 405 K00598.01  2.46 0.06
 406 K00598.02  1.92 0.06
 407 K00600.01  2.55 0.08
 408 K00601.01  2.90 0.08
 409 K00601.02  3.41 0.12
 410 K00601.03  1.49 0.06
 411 K00611.01 10.11 0.88
 412 K00612.01  2.13 0.05
 413 K00612.02  2.45 0.06
 414 K00612.03  2.42 0.08
 415 K00620.01  7.23 0.15
 416 K00620.02  9.87 0.21
 417 K00620.03  4.00 0.11
 418 K00623.01  1.39 0.04
 419 K00623.02  1.37 0.05
 420 K00623.03  1.17 0.04
 421 K00623.04  1.00 0.04
 422 K00624.01  2.91 0.06
 423 K00624.02  2.66 0.07
 424 K00624.03  1.54 0.04
 425 K00626.01  2.60 0.09
 426 K00626.02  1.08 0.07
 427 K00627.01  3.12 0.10
 428 K00627.02  1.69 0.06
 429 K00628.01  2.30 0.06
 430 K00629.01  3.07 0.12
 431 K00632.01  1.49 0.03
 432 K00633.01  4.30 0.13
 433 K00635.01  2.75 0.11
 434 K00638.01  3.35 0.06
 435 K00638.02  3.57 0.07
 436 K00639.01  2.96 0.11
 437 K00645.01  2.62 0.11
 438 K00645.02  3.05 0.12
 439 K00647.01  2.34 0.10
 440 K00647.02  1.03 0.09
 441 K00649.01  4.09 0.30
 442 K00649.02  1.40 0.13
 443 K00650.01  2.61 0.05
 444 K00654.01  1.98 0.05
 445 K00654.02  1.67 0.08
 446 K00655.01  2.73 0.08
 447 K00655.02  2.64 0.08
 448 K00657.01  1.72 0.03
 449 K00657.02  2.06 0.04
 450 K00658.01  2.56 0.07
 451 K00658.02  2.53 0.07
 452 K00658.03  1.46 0.06
 453 K00659.01  2.48 0.12
 454 K00660.01  4.09 0.18
 455 K00661.01  2.09 0.05
 456 K00661.02  1.38 0.06
 457 K00662.01  3.08 0.11
 458 K00664.01  1.73 0.04
 459 K00664.02  1.23 0.04
 460 K00664.03  1.09 0.05
 461 K00665.01  3.90 0.15
 462 K00665.02  1.88 0.07
 463 K00665.03  1.73 0.07
 464 K00666.01  2.67 0.06
 465 K00670.01  2.89 0.10
 466 K00671.01  1.67 0.05
 467 K00671.02  1.50 0.05
 468 K00671.03  1.55 0.06
 469 K00671.04  1.33 0.06
 470 K00672.01  2.47 0.05
 471 K00672.02  3.24 0.06
 472 K00674.01 11.79 0.76
 473 K00678.01  1.32 0.05
 474 K00678.02  1.36 0.04
 475 K00679.01  3.04 0.09
 476 K00679.02  1.10 0.06
 477 K00680.01 16.05 1.05
 478 K00683.01  5.78 0.14
 479 K00684.01  6.51 0.29
 480 K00686.01 13.88 0.34
 481 K00687.01  1.10 0.05
 482 K00688.01  2.85 0.20
 483 K00689.01  1.84 0.05
 484 K00691.01  4.20 0.17
 485 K00691.02  1.78 0.09
 486 K00692.01  1.62 0.04
 487 K00692.02  2.20 0.06
 488 K00693.01  2.83 0.12
 489 K00693.02  3.48 0.14
 490 K00694.01  3.16 0.07
 491 K00695.01  2.46 0.05
 492 K00700.01  2.32 0.05
 493 K00700.02  1.52 0.04
 494 K00700.03  1.39 0.04
 495 K00700.04  1.70 0.05
 496 K00701.01  2.35 0.04
 497 K00701.02  1.58 0.03
 498 K00701.03  2.04 0.04
 499 K00701.05  0.68 0.03
 500 K00704.01  2.15 0.04
 501 K00707.01  5.10 0.18
