koi,kepid,prot,prot_ref,prot_numflag,a18_prot,m13_prot,m15_prot,w13_prot
1216,3839488.0,21.29,a18,2.0,21.29,,21.74,
1218,3442055.0,,,1.0,35.09,,57.94,
1220,4043190.0,22.46,a18,2.0,22.46,,32.86,
1221,3640905.0,,,1.0,,,,
1222,,,,0.0,,,,
1230,6470149.0,,,1.0,15.1,,,43.97
1239,6607286.0,,,1.0,13.0,,4.86,
1240,6690082.0,,,1.0,,,28.15,14.7
1241,6448890.0,,,1.0,1.7,,,
1242,6607447.0,,,1.0,19.93,,82.98,
1270,8564587.0,32.91,m15,2.0,,33.31,32.91,32.54
1271,8631160.0,,,1.0,30.69,,,
1274,,,,0.0,,,,
1275,8583696.0,,,1.0,21.69,,71.98,
1276,8804283.0,,,1.0,30.0,,9.62,
1278,8609450.0,,,1.0,,,57.6,
1279,8628758.0,,,1.0,29.47,,28.75,
1282,8822366.0,,,1.0,14.84,,35.53,
1283,8700771.0,,,1.0,14.72,,72.66,
1288,10790387.0,,,1.0,41.39,,70.84,
1299,10864656.0,,,1.0,24.07,,,
1300,10975146.0,39.15,m15,3.0,,38.28,39.15,29.35
1301,10538176.0,,,1.0,,,5.68,
1305,10730034.0,27.04,m15,3.0,,26.95,27.04,
1306,10858691.0,,,1.0,16.15,,24.46,
1307,10973814.0,28.13,m15,2.0,,,28.13,
1308,10586208.0,,,1.0,,,54.99,
1311,10713616.0,,,1.0,46.62,,66.3,
1314,10585852.0,,,1.0,19.12,,,
1315,10928043.0,11.49,a18,2.0,11.49,,11.17,
1316,,,,0.0,,,,
1332,4455231.0,,,1.0,,,29.34,
1335,4155328.0,4.37,m15,2.0,8.76,,4.37,
1336,4077526.0,,,1.0,31.16,,22.87,
1338,4466677.0,,,1.0,20.66,,60.45,
1344,4136466.0,,,1.0,11.89,,28.5,
1353,7303287.0,8.85,a18,3.0,8.85,8.65,8.73,8.96
1356,,,,0.0,,,,
1359,6946199.0,,,1.0,,,56.13,
1360,7102227.0,31.78,a18,2.0,31.78,,32.56,
1363,6936909.0,,,1.0,25.18,,46.13,
1364,6962977.0,,,1.0,,,62.9,
1366,6932987.0,20.88,a18,2.0,20.88,31.27,31.19,32.54
1367,6934291.0,29.89,a18,2.0,29.89,29.83,16.83,30.55
1375,6766634.0,,,1.0,16.33,,75.76,
1378,7375795.0,,,0.0,,,34.91,
1379,7211221.0,,,1.0,21.75,,56.24,
1396,9455556.0,24.86,a18,3.0,24.86,24.37,24.38,34.01
1411,9425139.0,,,1.0,10.82,,104.13,
1412,8950853.0,,,1.0,11.74,,11.15,
1413,9006449.0,,,1.0,,,31.5,26.74
1421,,,,0.0,,,,
1426,11122894.0,23.75,a18,2.0,23.75,,33.22,
1428,11401182.0,,,1.0,16.37,,39.94,
1431,11075279.0,29.78,a18,2.0,29.78,,29.38,
1432,11014932.0,,,1.0,64.4,,54.29,
