 1296491 26.997 0.761 2051699628130484736 291.781 0.017 36.953 0.022  -27.015  3.214   8.989   1.934 1.751 1.492 5150.466  5.752 0.005
 1296787 10.002 0.025 2051700796361623552 291.843 0.019 36.956 0.027   -9.779  3.243   4.244   0.593 1.722 0.438 4725.184  6.396 0.020
 1297058 27.257 0.235 2051699937368192000 291.903 0.015 36.947 0.021   19.780         10.205   2.362 1.757 1.477 5118.697  5.805 0.005
 1297166 19.382 0.122 2051700349685078528 291.927 0.029 36.970 0.038   -0.721  3.178   9.341   2.055 1.753 0.920 4591.647  6.506 0.008
 1297303 27.333 0.193 2051723954825689600 291.958 0.024 37.000 0.033   19.950  3.130  15.931   4.763 1.781 1.035 4316.554  7.014 0.004
 1297347 13.357 0.010 2051688667374072832 291.967 0.016 36.969 0.023  -16.305  3.213  11.251   2.754 1.762 0.669 5056.963  5.852 0.016
 1429092  9.171 0.065 2051020920217812736 290.643 0.019 37.075 0.021   -7.772  3.544   4.573   0.667 1.724 0.576 5439.179  5.443 0.013
 1429893 35.564 0.989 2051006764005686272 290.828 0.015 37.028 0.019   17.236         16.809   5.184 1.784 1.911 4839.137  6.118 0.003
 1429921 23.131 0.110 2051012845679751936 290.834 0.034 37.075 0.039   -2.003  3.478   9.686   2.176 1.754 0.854 4252.863  7.175 0.005
 1430349 34.717 0.752 2051011540009371904 290.940 0.022 37.006 0.028   18.086         13.395   3.625 1.771 1.248 4369.082  7.044 0.003
 1430893 17.045 0.026 2050262806954650368 291.087 0.023 37.072 0.025    5.924  3.391  11.158   2.718 1.761 0.543 3986.192  7.780 0.013
 1431060 39.682 0.849 2050261703139922432 291.128 0.024 37.038 0.027   12.471  3.422  13.546   3.690 1.772 1.258 4486.165  5.773 0.003
 1431116 38.757 1.038 2050262188479285248 291.141 0.020 37.059 0.021   -9.078         21.908   7.868 1.800 1.548 4418.897  6.707 0.004
 1432091  4.685 0.012 2051761303862291968 291.360 0.025 37.099 0.030  -29.275         11.002   2.659 1.761 0.279 5649.432  4.604 0.003
 1432278 14.760 0.024 2051746941491623168 291.396 0.026 37.022 0.030   -5.008  3.334   6.556   1.177 1.737 1.127 5604.937  4.999 0.012
 1432469 24.726 0.835 2051749793349996032 291.432 0.019 37.094 0.023   -2.753  0.276  10.458   2.455 1.758 1.406 5511.422  5.030 0.009
 1432551 12.041 1.365 2051748590759138816 291.450 0.012 37.058 0.015    4.590         10.663   2.531 1.759 0.717 5605.445  4.647 0.014
 1432700 31.733 0.263 2051748693838372096 291.479 0.030 37.048 0.036  -28.692  3.348  21.581   7.684 1.799 1.519 4110.868  7.441 0.002
 1432745 22.189 0.219 2051748728198135552 291.488 0.011 37.073 0.015    0.944  0.330  10.675   2.535 1.759 0.960 4417.191  6.827 0.008
 1432847 17.588 0.025 2051748762557889280 291.512 0.025 37.073 0.027   -9.053  3.257  11.247   2.753 1.762 0.808 4879.332  6.000 0.013
 1433040 28.315 0.188 2051745464022994432 291.552 0.017 37.012 0.021    5.641  3.215   7.345   1.407 1.742 1.449 4937.052  6.011 0.011
 1433104 24.223 0.063 2051745567102238464 291.563 0.021 37.040 0.024    2.716  3.250  14.442   4.081 1.775 1.083 4573.026  6.621 0.010
 1433642 12.757 0.011 2051704021876984832 291.690 0.015 37.054 0.019   14.438         12.093   3.086 1.766 0.777 5240.525  5.373 0.014
 1433899 11.317 0.096 2051705190108058112 291.748 0.022 37.035 0.029    7.448         10.792   2.579 1.760 0.607 5491.180  5.135 0.016
 1434259  8.727 0.016 2051704232335480320 291.824 0.019 37.018 0.028    8.578         10.335   2.409 1.758 1.087 6743.882  2.436 0.005
 1434277 10.446 0.033 2051704953890020864 291.827 0.023 37.081 0.030   -0.788  0.154   7.584   1.480 1.743 0.759 5694.483  4.774 0.023
 1434708 19.526 0.406 2051700762001969920 291.928 0.014 37.026 0.018  -12.197          9.003   1.939 1.751 1.268 5276.966  5.384 0.009
 1434976 32.071 5.171 2051724092264676864 291.982 0.018 37.031 0.023    8.024         18.553   6.056 1.790 1.599 4621.826  6.322 0.007
 1435229 23.469 0.027 2051712680531010816 292.030 0.222 37.022 0.274    1.945         13.250   3.564 1.771 0.598 4074.924  7.455 0.006
 1435260 22.376 0.169 2051724573301083904 292.038 0.031 37.065 0.039  -13.192  3.190  10.184   2.354 1.757 1.119 4586.601  6.739 0.004
 1435272  5.579 0.067 2051712616112104704 292.042 0.012 37.023 0.016   15.086          7.738   1.527 1.744 0.602 6358.258  3.030 0.008
